track_name,track_id,artists,artists_ids,album_name,album_id,duration_ms,explicit,popularity,popularity_per_artist,followers_per_artist,album_popularity
Bad To The Bone,6s0NHplywwr1IjnQpUpWJk,['George Thorogood & The Destroyers'],['4n31svBA9GGIYxGxgrQaRK'],BAD TO THE BONE,2YeoeDa3soxjD4ANZGG1fj,292173,False,72,58,831197,64
"10,000 Hours",6d1fGqMtdUEuHqFSDMlR0N,['Ella Mai'],['7HkdQ0gt53LP4zmHsL0nap'],CHANGE,5OEG0kAfeWe5Lze9RGbJHb,230240,True,52,71,5005496,51
Praying,0jdny0dhgjUwoIp5GkqEaA,['Kesha'],['6LqNN22kT3074XbTVUrhzX'],Rainbow,1IYVB8NfiRqhdZlTxjspNh,230266,False,71,77,7571892,68
Rent Money,5W9QCBJ6Em0XWX333YrNhc,['Future'],['1RyvyyTE3xzB2ZywiAwp0i'],FUTURE,17FBoXK1NU2rvJBbzdzw0r,265366,True,59,90,13952339,78
Motivation,6rbhWExtuchhpLC5fHnB8n,"['Kelly Rowland', 'Lil Wayne']","['3AuMNF8rQAKOzjYppFNAoB', '55Aa2cqylxrFIXC767Z865']",Here I Am (Deluxe Version),673D6VTmxJquUg31Wq1j0S,230560,False,65,76,8510568,57
Say Yes to This,6cBwryv6XVRzGooXa1FjnM,['Jill Scott'],['6AVLthptCPhfrxlHadOBJD'],The Hamilton Mixtape,5AgsHUKFxr5DApRCmulIqJ,230360,False,41,57,1698169,60
Dollhouse,6wNeKPXF0RDKyvfKfri5hf,['Melanie Martinez'],['63yrD80RY3RNEM2YDpUpO8'],Cry Baby (Deluxe Edition),5JpH5T1sCYnUyZD6TM0QaY,231853,False,77,83,17404910,87
Until the World Goes Cold,1hPKSQuvfLlPeIu8xhRyTf,['Trivium'],['278ZYwGhdK6QTzE3MFePnP'],Silence in the Snow,5ZR5Nxs0Q9sQdNicw8u0fe,321161,False,58,62,1469235,46
Taipei Person / Allah Tea,0m9xl23pyUMGrxwP1YdSe2,['Stone Sour'],['49qiE8dj4JuNdpYGRPdKbF'],Hydrograd,4PERSgw7TXqpEZlIVN6zHr,316920,True,40,64,2730484,58
Malibu,1UZOjK1BwmwWU14Erba9CZ,['Miley Cyrus'],['5YGY8feqx7naU7z4HrwZM6'],Younger Now,5xG9gJcs9ut3qDWezHUlsX,231906,False,78,88,20860126,72
Runaway (U & I),46lFttIf5hnUZMGvjK0Wxo,['Galantis'],['4sTQVOfp9vEMCemLw50sbu'],Pharmacy,4QcXq4vTVN7dFb7bZa9jG2,227073,False,77,73,3360122,71
I Will Wait,1fXiYSWmkKJfRKMegCkI11,['Mumford & Sons'],['3gd8FJtBJtkRxdfbTu19U2'],Babel,7rlmzEQPP4b6T6OhlnTdRn,276720,False,71,72,6490176,0
Send Me An Angel,1bKQ48M9onID2kbSpRy8kK,['Scorpions'],['27T030eWyCQRmDyuvr1kxY'],Crazy World,3dLKM8bD8R3H3XnSOXGjTF,273333,False,72,72,6415969,75
Bad Romance,0SiywuOBRcynK0uKGWdCnn,['Lady Gaga'],['1HY2Jd0NmPuamShAr6KMms'],The Fame Monster (Explicit Version),4Rt6psVqmhnvrZLEoHocb6,294573,True,84,85,26575106,0
Hello Ego,2kt06ZsD735FYBZO8yAAQs,"['Jhené Aiko', 'Chris Brown']","['5ZS223C6JyBfXasXxrRqOk', '7bXgB6jMjp9ATFy66eO08Z']",Hello Ego,2vYEAU3L58qz0d8Mk2JVdi,228133,True,46,82,13040714,38
Better Off Without You,0NSqYlz5V1u6l68r1pzUPn,['Mallory Knox'],['7bHTSvk96ULRLZPZr1SoCZ'],Wired,1RSAewFsJ7Q2vM5QaYMY1W,176280,False,36,37,78461,35
Know No Better,6BKeNWeUqxmvQ09Gxd3ZGX,"['Travis Scott', 'Camila Cabello', 'Major Lazer', 'Quavo']","['0Y5tJX1MQlPlqiwlOH1tJY', '4nDoRrQiYLoBzwC5BhVJzF', '738wLrAtLtCtFOLvQBXOXp', '0VRj0yCOv2FXJNP47XQnx5']",Major Lazer Essentials,615Wwa9XvRQvJqVPEhlBAe,225849,False,60,81,16471894,33
Inis Mona,1KmeyQfVjX1odybN9aEfWt,['Eluveitie'],['5X0N2k3qMnI8kSrGJT3kfT'],Slania,164Eeq016zIYT40QvYuTbt,249240,False,57,55,516440,0
Wild Things,0bmm9xZUJQDR1tBhWtIXVM,['Alessia Cara'],['2wUjUUtkb5lvLKcGKsKqsR'],Know-It-All (Deluxe),3rDbA12I5duZnlwakqDdZa,188493,False,66,74,11487543,2
"Walk On Water (feat. A$AP Twelvyy, A$AP Ant, A$AP Nast, A$AP Ferg & Playboi Carti)",0WQcnrsEqrY2e5nexGe3HX,"['A$AP Mob', 'A$AP Twelvyy', 'A$AP ANT', 'A$AP NAST', 'A$AP Ferg', 'Playboi Carti']","['7yO4IdJjCEPz7YgZMe25iS', '0tPjSrb43a58uznKru1k2P', '45m1IiS45uD1HcPlYkNWKj', '1uLYUm2A6kpFYAECfAFoH1', '5dHt1vcEm9qb8fCyLcB3HL', '699OTQXzgjhIYAHMy9RyPD']",Cozy Tapes Vol. 2: Too Cozy,0qr1Fvi1haEDWVbFtekZLb,236226,True,59,63,2402152,66
This Is America,0b9oOr2ZgvyQu88wzixux9,['Childish Gambino'],['73sIBHcqh3Z3NyqHKZ7FOL'],This Is America,7arx9qPJexCsDz67El4qvk,225773,True,72,79,10900712,64
The Motto,4Kz4RdRCceaA9VgTqBhBfa,"['Drake', 'Lil Wayne']","['3TVXtAsR1Inumwj472S9r4', '55Aa2cqylxrFIXC767Z865']",Take Care (Deluxe),6X1x82kppWZmDzlXXK3y3q,181573,True,76,90,44575890,85
Southside,7lurcq2Yw96B1K0KOJAHxg,"['Lloyd', 'Ashanti']","['1Xfmvd48oOhEWkscWyEbh9', '5rkVyNGXEgeUqKkB5ccK83']",Southside,317R21F7calEn6gpLnHEkb,277840,False,63,68,2445970,57
Heaven and Hell,6DPZmWcljW3XCfMNlnqy9r,['Black Sabbath'],['5M52tdBnJaKSvOpJGz8mfZ'],Rhino Hi-Five: Bang Your Head 2,0VvDozXY0AHdsWhHJAWWTF,415933,False,9,73,6971190,6
For Whom The Bell Tolls (Remastered),51YZAJhOwIC5Gg3jMbAmhZ,['Metallica'],['2ye2Wgw4gimLv2eAKyk1NB'],Ride The Lightning,7a1dlwArQK6OCHkr2SNlZR,309973,False,73,83,24851302,0
American Girl,7MRyJPksH3G2cXHN8UKYzP,['Tom Petty and the Heartbreakers'],['4tX2TplrkIP4v05BNC903e'],Tom Petty & The Heartbreakers,6TLTd0P2CUI0Q29AQ1LyFi,214733,False,74,68,2522505,68
Hate Me Now (feat. Diddy),158DIbrVt4YbqNnWyRCS3P,"['Nas', 'Diddy']","['20qISvAhX20dpIbOOzGK3q', '59wfkuBoNyhDMQGCljbUbA']",I Am...,4UhEjfIRx4tE1XRY21vwNa,284000,True,62,74,2379243,64
Poison,5XcZRgJv3zMhTqCyESjQrF,['Alice Cooper'],['3EhbVgyfGd7HkpsagwL9GS'],Playlist: The Very Best Of Alice Cooper,5M50gz8rh6inIVTdBUJ7z9,270080,False,75,65,3420841,0
Over and Over Again,4tLJlbnRoUz8BOfy2Xcsgk,['The Used'],['55VydwMyCuGcavwPuhutPL'],The Canyon,0SEhVELkAIQClxHypdgneN,314373,False,41,64,1100960,0
Are You Gonna Be My Girl,305WCRhhS10XUcH6AEwZk6,['Jet'],['5ypxebeHEIXjMtJb17uJlI'],Get Born,6NrLpQCPYrNS3kVWxDgIlg,213800,False,78,62,542463,72
Back At One,6mwA6YiKDjAUG8kWvRRUPh,['Brian McKnight'],['6k0IBR0lU42s2GYpNX7kA9'],Back At One,0ZnKlkQrZb1xDbT8bmPSjo,263666,False,70,59,1411461,65
